,Species,GA_original,species,GA,size,gc,genes
1247,Mute swan feces associated sapelovirus 2,,Mute swan feces associated sapelovirus 2,,,,
1248,Mute swan feces associated sapelovirus 3,,Mute swan feces associated sapelovirus 3,,,,
1249,Mute swan feces associated toti-like virus 1,,Mute swan feces associated toti-like virus 1,,,,
1250,Mute swan feces associated toti-like virus 2,,Mute swan feces associated toti-like virus 2,,,,
1251,Mute swan feces associated toti-like virus 3,,Mute swan feces associated toti-like virus 3,,,,
1252,Myna aviadenovirus,,Myna aviadenovirus,,,,
1253,Myna calicivirus,,Myna calicivirus,,,,
1254,Myna chaphamaparvovirus,,Myna chaphamaparvovirus,,,,
1255,Myna hepatovirus,,Myna hepatovirus,,,,
1256,Myna siadenovirus,,Myna siadenovirus,,,,
1257,Mynah circovirus,,Mynah circovirus,,,,
1258,Nacovirus A,GCF_004786995.1,Nacovirus A,GCF_004786995.1,7656.0,50.0,2.0
1259,Nandayus nenday CRESS-DNA-virus sp.,,Nandayus nenday CRESS-DNA-virus sp.,,,,
1260,Nandayus nenday Chaphamaparvovirus,,Nandayus nenday Chaphamaparvovirus,,,,
1261,Nandayus nenday parvoviridae sp.,,Nandayus nenday parvoviridae sp.,,,,
1262,Nauglamirvirus anduin,GCF_023131745.1,Nauglamirvirus anduin,GCF_023131745.1,1970.0,34.0,2.0
1263,Navarro virus,0,Navarro virus,,,,
1264,Neoavian orthoreovirus,0,Neoavian orthoreovirus,,,,
1265,Neotropic cormorant aviadenovirus,0,Neotropic cormorant aviadenovirus,,,,
1266,Neotropic cormorant herpesvirus,0,Neotropic cormorant herpesvirus,,,,
1267,Netherby virus,,Netherby virus,,,,
1268,Neva virus,,Neva virus,,,,
1269,Night heron coronavirus HKU19,GCF_000896035.1,Night heron coronavirus HKU19,GCF_000896035.1,26077.0,38.0,8.0
1270,Nodaviridae sp.,,Nodaviridae sp.,GCA_030027915.1,3205.0,51.5,
1271,Nordenskjold virus,0,Nordenskjold virus,,,,
1272,Norwalk virus,0,Norwalk virus,,,,
1273,Nyavirus nyamaniniense,,Nyavirus nyamaniniense,GCF_000882955.1,11631.0,52.5,6.0
1274,Nyavirus sanjacintoense,GCF_018587265.1,Nyavirus sanjacintoense,GCF_018587265.1,13295.0,51.5,7.0
1275,Nyavirus somateriae,GCF_023131265.1,Nyavirus somateriae,GCF_023131265.1,12659.0,48.0,8.0
1276,O'Leary virus,0,O'Leary virus,,,,
1277,Oates virus,0,Oates virus,,,,
1278,Onychoprion fuscatus alphaherpesvirus 1,0,Onychoprion fuscatus alphaherpesvirus 1,,,,
1279,Oriental turtle dovepox virus,,Oriental turtle dovepox virus,,,,
1280,Oriolus adenovirus,,Oriolus adenovirus,,,,
1281,Orivirus A,GCF_000926835.1,Orivirus A,GCF_000926835.1,7037.0,50.0,1.0
1282,Orthoavulavirus borisense,GCF_003032685.1,Orthoavulavirus borisense,GCF_003032685.1,14926.0,46.0,6.0
1283,Orthoavulavirus italiense,GCF_000927075.1,Orthoavulavirus italiense,GCF_000927075.1,15312.0,45.0,6.0
1284,Orthoavulavirus japanense,GCF_001654405.1,Orthoavulavirus japanense,GCF_001654405.1,16146.0,42.5,6.0
1285,Orthoavulavirus javaense,GCF_002834085.1,Orthoavulavirus javaense,GCF_002834085.1,15192.0,47.0,6.0
1286,Orthoavulavirus kopaiticense,GCF_003032695.1,Orthoavulavirus kopaiticense,GCF_003032695.1,14931.0,50.0,6.0
1287,Orthoavulavirus koreaense,,Orthoavulavirus koreaense,,,,
1288,Orthoavulavirus newyorkense,GCF_000926655.1,Orthoavulavirus newyorkense,GCF_000926655.1,15438.0,44.5,6.0
1289,Orthoavulavirus oneillense,GCF_003032705.1,Orthoavulavirus oneillense,GCF_003032705.1,15017.0,50.0,6.0
1290,Orthoavulavirus sp.,,Orthoavulavirus sp.,,,,
1291,Orthoavulavirus upoense,GCF_003032675.1,Orthoavulavirus upoense,GCF_003032675.1,15180.0,44.5,6.0
1292,Orthobornavirus alphapsittaciforme,GCF_002815075.1,Orthobornavirus alphapsittaciforme,GCF_002815075.1,8902.0,42.5,6.0
1293,Orthobornavirus avisaquaticae,GCF_001589995.2,Orthobornavirus avisaquaticae,GCF_001589995.2,8904.0,41.0,6.0
1294,Orthobornavirus betapsittaciforme,GCF_002815095.1,Orthobornavirus betapsittaciforme,GCF_002815095.1,8973.0,43.0,6.0
1295,Orthobornavirus bornaense,0,Orthobornavirus bornaense,,,,
1296,Orthobornavirus estrildidae,GCF_002815055.1,Orthobornavirus estrildidae,GCF_002815055.1,5572.0,43.0,6.0
1297,Orthobornavirus serini,GCF_001305565.3,Orthobornavirus serini,GCF_001305565.3,8930.0,41.0,6.0
1298,Orthobunyavirus balagoduense,GCF_029887365.1,Orthobunyavirus balagoduense,GCF_029887365.1,12557.0,36.5,3.0
1299,Orthobunyavirus bataiense,,Orthobunyavirus bataiense,,,,
1300,Orthobunyavirus batamaense,GCF_029887665.1,Orthobunyavirus batamaense,GCF_029887665.1,12447.0,36.5,3.0
1301,Orthobunyavirus bobayaense,GCF_029888205.1,Orthobunyavirus bobayaense,GCF_029888205.1,12536.0,36.0,3.0
1302,Orthobunyavirus bunyamweraense,,Orthobunyavirus bunyamweraense,,,,
1303,Orthobunyavirus gamboaense,0,Orthobunyavirus gamboaense,,,,
1304,Orthobunyavirus ingwavumaense,GCF_004789635.1,Orthobunyavirus ingwavumaense,GCF_004789635.1,12388.0,36.5,3.0
1305,Orthobunyavirus manzanillaense,,Orthobunyavirus manzanillaense,,,,
1306,Orthobunyavirus matruhense,GCF_009731935.1,Orthobunyavirus matruhense,GCF_009731935.1,12220.0,36.5,3.0
1307,Orthobunyavirus mermetense,GCF_004789655.1,Orthobunyavirus mermetense,GCF_004789655.1,12332.0,36.0,3.0
1308,Orthobunyavirus sedlecense,GCF_018594955.1,Orthobunyavirus sedlecense,GCF_018594955.1,12532.0,36.0,4.0
1309,Orthobunyavirus teteense,GCF_002814395.1,Orthobunyavirus teteense,GCF_002814395.1,12187.0,37.0,3.0
1310,Orthobunyavirus thimiriense,GCF_006297945.1,Orthobunyavirus thimiriense,GCF_006297945.1,12418.0,36.5,4.0
1311,Orthoflavivirus bagazaense,,Orthoflavivirus bagazaense,,,,
1312,Orthoflavivirus cacipacoreense,GCF_000954535.1,Orthoflavivirus cacipacoreense,GCF_000954535.1,10284.0,49.5,1.0
1313,Orthoflavivirus encephalitidis,,Orthoflavivirus encephalitidis,,,,
1314,Orthoflavivirus israelense,0,Orthoflavivirus israelense,,,,
1315,Orthoflavivirus japonicum,,Orthoflavivirus japonicum,,,,
1316,Orthoflavivirus louisense,0,Orthoflavivirus louisense,,,,
1317,Orthoflavivirus loupingi,0,Orthoflavivirus loupingi,,,,
1318,Orthoflavivirus nilense,,Orthoflavivirus nilense,,,,
1319,Orthoflavivirus powassanense,0,Orthoflavivirus powassanense,,,,
1320,Orthoflavivirus saumarezense,,Orthoflavivirus saumarezense,,,,
1321,Orthoflavivirus tembusu,GCF_000894755.1,Orthoflavivirus tembusu,GCF_000894755.1,10990.0,49.0,1.0
1322,Orthoflavivirus usutuense,,Orthoflavivirus usutuense,,,,
1323,Orthoflavivirus wesselsbronense,,Orthoflavivirus wesselsbronense,,,,
1324,Orthonairovirus abuhammadense,GCF_014883235.1,Orthonairovirus abuhammadense,GCF_014883235.1,18596.0,42.5,3.0
1325,Orthonairovirus abuminaense,GCF_014883245.1,Orthonairovirus abuminaense,GCF_014883245.1,18416.0,41.5,3.0
1326,Orthonairovirus bushkeyense,0,Orthonairovirus bushkeyense,,,,
1327,Orthonairovirus tunisense,GCF_004128175.1,Orthonairovirus tunisense,GCF_004128175.1,18977.0,41.5,3.0
1328,Orthoreovirus sp.,,Orthoreovirus sp.,,,,
1329,Oscivirus A,GCF_000887535.1,Oscivirus A,GCF_000887535.1,7641.0,47.0,1.0
1330,Ostrekin virus,0,Ostrekin virus,,,,
1331,Ostrich orthoreovirus Ost1,0,Ostrich orthoreovirus Ost1,,,,
1332,Ostrich parvovirus,,Ostrich parvovirus,,,,
1333,Otus scops CRESS-DNA-virus sp.,,Otus scops CRESS-DNA-virus sp.,,,,
1334,Otus scops parvoviridae sp.,,Otus scops parvoviridae sp.,,,,
1335,Ousland virus,0,Ousland virus,,,,
1336,Owl adenovirus,,Owl adenovirus,GCA_031258635.1,40551.0,49.0,28.0
1337,Owl adenovirus Aichi10341,,Owl adenovirus Aichi10341,,,,
1338,Pacific black duck aalivirus,,Pacific black duck aalivirus,,,,
1339,Pacific black duck adeno-associated virus,,Pacific black duck adeno-associated virus,,,,
1340,Pacific black duck anativirus-like virus,,Pacific black duck anativirus-like virus,,,,
1341,Pacific black duck astrovirus,,Pacific black duck astrovirus,,,,
1342,Pacific black duck aveparvovirus,,Pacific black duck aveparvovirus,,,,
1343,Pacific black duck aviadenovirus,,Pacific black duck aviadenovirus,,,,
1344,Pacific black duck calicivirus,,Pacific black duck calicivirus,,,,
1345,Pacific black duck chaphamaparvovirus,,Pacific black duck chaphamaparvovirus,,,,
1346,Pacific black duck chaphamaparvovirus 1,,Pacific black duck chaphamaparvovirus 1,GCF_029885275.1,4323.0,39.0,4.0
1347,Pacific black duck megrivirus,,Pacific black duck megrivirus,,,,
1348,Pacific black duck orthoreovirus,,Pacific black duck orthoreovirus,,,,
1349,Pacific black duck sicinivirus-like virus,,Pacific black duck sicinivirus-like virus,,,,
1350,Palmer virus,0,Palmer virus,,,,
1351,Papillomavirus luscinia7441,,Papillomavirus luscinia7441,,,,
1352,Papillomavirus numida8051,,Papillomavirus numida8051,,,,
1353,Paraavulavirus hongkongense,GCF_002815175.1,Paraavulavirus hongkongense,GCF_002815175.1,15054.0,47.0,6.0
1354,Paraavulavirus wisconsinense,GCF_000927055.1,Paraavulavirus wisconsinense,GCF_000927055.1,16182.0,42.0,6.0
1355,Paramecium bursaria Chlorella virus,,Paramecium bursaria Chlorella virus,,,,
1356,Parechovirus B,0,Parechovirus B,,,,
1357,Parechovirus E,0,Parechovirus E,,,,
1358,Parrot coronavirus AV71/99,0,Parrot coronavirus AV71/99,,,,
1359,Parrot hepatitis B virus,GCF_000895735.1,Parrot hepatitis B virus,GCF_000895735.1,3048.0,41.5,5.0
1360,Partitiviridae sp.,,Partitiviridae sp.,GCA_031323215.1,3505.0,48.5,
1361,Parus major parvoviridae sp.,,Parus major parvoviridae sp.,,,,
1362,Parvoviridae sp.,GCF_003389895.1,Parvoviridae sp.,GCF_003389895.1,4305.0,38.0,2.0
1363,Parvovirus AC-2012,0,Parvovirus AC-2012,,,,
1364,Parvovirus AH0225,0,Parvovirus AH0225,,,,
1365,Parvovirus NIH-CQV,0,Parvovirus NIH-CQV,GCF_000910875.1,3780.0,46.0,3.0
1366,Parvovirus USP336-5/Brazil/2009,0,Parvovirus USP336-5/Brazil/2009,,,,
1367,Parvovirus USP336-7/Brazil/2009,0,Parvovirus USP336-7/Brazil/2009,,,,
1368,Parvovirus USP369-D/Brazil/2009,0,Parvovirus USP369-D/Brazil/2009,,,,
1369,Parvovirus USP369-E/Brazil/2009,0,Parvovirus USP369-E/Brazil/2009,,,,
1370,Parvovirus USP371-1/Brazil/2009,0,Parvovirus USP371-1/Brazil/2009,,,,
1371,Parvovirus USP371-4/Brazil/2009,0,Parvovirus USP371-4/Brazil/2009,,,,
1372,Parvovirus USP391-2/Brazil/2009,0,Parvovirus USP391-2/Brazil/2009,,,,
1373,Parvovirus USP400-2B/Brazil/2010,0,Parvovirus USP400-2B/Brazil/2010,,,,
1374,Parvovirus USP400-4B/Brazil/2010,0,Parvovirus USP400-4B/Brazil/2010,,,,
1375,Parvovirus USP400-8A/Brazil/2010,0,Parvovirus USP400-8A/Brazil/2010,,,,
1376,Parvovirus USP400-9A/Brazil/2010,0,Parvovirus USP400-9A/Brazil/2010,,,,
1377,Parvovirus anas3568,,Parvovirus anas3568,,,,
1378,Parvovirus anser6071,,Parvovirus anser6071,,,,
1379,Parvovirus anser6262,,Parvovirus anser6262,,,,
1380,Parvovirus anser7324,,Parvovirus anser7324,,,,
1381,Parvovirus anser7825,,Parvovirus anser7825,,,,
1382,Parvovirus chalcites3867,,Parvovirus chalcites3867,,,,
1383,Parvovirus chrysococcyx3867a,,Parvovirus chrysococcyx3867a,,,,
1384,Parvovirus emberiza5140,,Parvovirus emberiza5140,,,,
1385,Parvovirus emberiza5276,,Parvovirus emberiza5276,,,,
1386,Parvovirus emberiza6660,,Parvovirus emberiza6660,,,,
1387,Parvovirus emberiza7086,,Parvovirus emberiza7086,,,,
1388,Parvovirus grus5099,,Parvovirus grus5099,,,,
1389,Parvovirus grus5877,,Parvovirus grus5877,,,,
1390,Parvovirus grus5942,,Parvovirus grus5942,,,,
1391,Parvovirus laniidae3881,,Parvovirus laniidae3881,,,,
1392,Parvovirus lanius6615,,Parvovirus lanius6615,,,,
1393,Parvovirus larvivora5808,,Parvovirus larvivora5808,,,,
1394,Parvovirus leiothrix3317,,Parvovirus leiothrix3317,,,,
1395,Parvovirus leiothrix4587,,Parvovirus leiothrix4587,,,,
1396,Parvovirus luscinia5410,,Parvovirus luscinia5410,,,,
1397,Parvovirus luscinia6815,,Parvovirus luscinia6815,,,,
1398,Parvovirus numida6704,,Parvovirus numida6704,,,,
1399,Parvovirus partridge/PA147/ITA/2008,0,Parvovirus partridge/PA147/ITA/2008,,,,
1400,Parvovirus phasianus6595,,Parvovirus phasianus6595,,,,
1401,Parvovirus phoenicopterus3947,,Parvovirus phoenicopterus3947,,,,
1402,Parvovirus phoenicurus12233s1,,Parvovirus phoenicurus12233s1,,,,
1403,Parvovirus phoenicurus12233s2,,Parvovirus phoenicurus12233s2,,,,
1404,Parvovirus phoenicurus4436,,Parvovirus phoenicurus4436,,,,
1405,Parvovirus phylloscopus4927,,Parvovirus phylloscopus4927,,,,
1406,Parvovirus phylloscopus5247,,Parvovirus phylloscopus5247,,,,
1407,Parvovirus phylloscopus5401s1,,Parvovirus phylloscopus5401s1,,,,
1408,Parvovirus phylloscopus5401s2,,Parvovirus phylloscopus5401s2,,,,
1409,Parvovirus steptopelia4906,,Parvovirus steptopelia4906,,,,
1410,Parvovirus steptopelia5095,,Parvovirus steptopelia5095,,,,
1411,Parvovirus streptopelia4404,,Parvovirus streptopelia4404,,,,
1412,Parvovirus sylvia4828,,Parvovirus sylvia4828,,,,
1413,Parvovirus turdus4154,,Parvovirus turdus4154,,,,
1414,Parvovirus turdus6774,,Parvovirus turdus6774,,,,
1415,Parvovirus zapornia4554,,Parvovirus zapornia4554,,,,
1416,Parvovirus zonotrichia4755,,Parvovirus zonotrichia4755,,,,
1417,Paslahepevirus balayani,GCF_023120345.1,Paslahepevirus balayani,GCF_023120345.1,6660.0,51.5,3.0
1418,Passer domesticus herpesvirus,,Passer domesticus herpesvirus,,,,
1419,Passer montanus parvoviridae sp.,,Passer montanus parvoviridae sp.,,,,
1420,Passer montanus pegivirus,,Passer montanus pegivirus,GCA_031246775.1,10916.0,57.5,
1421,Passerid herpesvirus 1,0,Passerid herpesvirus 1,,,,
1422,Passerine adenovirus 1,,Passerine adenovirus 1,GCA_031236175.1,39644.0,53.5,
1423,Passerine astrovirus 1,0,Passerine astrovirus 1,GCA_031190705.1,6745.0,47.5,3.0
1424,Passerine astrovirus 2,0,Passerine astrovirus 2,GCA_031190715.1,6864.0,43.5,3.0
1425,Passerine astrovirus 3,0,Passerine astrovirus 3,GCA_031190725.1,6628.0,42.0,3.0
1426,Passerine astrovirus 4,0,Passerine astrovirus 4,GCA_031190735.1,6870.0,42.0,3.0
1427,Passerivirus A,GCF_000890055.1,Passerivirus A,GCF_000890055.1,8035.0,58.0,1.0
1428,Pavo cristatus CRESS-DNA-virus sp.,,Pavo cristatus CRESS-DNA-virus sp.,,,,
1429,Pavo cristatus parvo-like hybrid virus,,Pavo cristatus parvo-like hybrid virus,,,,
1430,Pavo cristatus parvoviridae sp.,,Pavo cristatus parvoviridae sp.,,,,
1431,Pelican hepacivirus,,Pelican hepacivirus,,,,
1432,Penguin herpesvirus 1,0,Penguin herpesvirus 1,,,,
1433,Penguin herpesvirus 2,0,Penguin herpesvirus 2,,,,
1434,Penguin siadenovirus A,GCF_001646375.1,Penguin siadenovirus A,GCF_001646375.1,24662.0,35.5,22.0
1435,Penguinpox virus,GCF_000923135.1,Penguinpox virus,GCF_000923135.1,306862.0,29.5,284.0
1436,Penguinpox virus 2,,Penguinpox virus 2,GCA_031242905.1,349821.0,30.0,
1437,Periparus ater CRESS-DNA-virus sp.,,Periparus ater CRESS-DNA-virus sp.,,,,
1438,Periparus ater Circoviridae sp.,,Periparus ater Circoviridae sp.,,,,
1439,Periparus ater Ichthamaparvovirus,,Periparus ater Ichthamaparvovirus,,,,
1440,Periparus ater parvoviridae sp.,,Periparus ater parvoviridae sp.,,,,
1441,Pernambuco mycovirus 1,0,Pernambuco mycovirus 1,,,,
1442,Pernambuco nodavirus,0,Pernambuco nodavirus,,,,
1443,Pernambuco virus,0,Pernambuco virus,,,,
1444,Petrov virus,0,Petrov virus,,,,
1445,Phacovirus BY/PhV,0,Phacovirus BY/PhV,,,,
1446,Phacovirus CAB/PhV,0,Phacovirus CAB/PhV,,,,
1447,Phacovirus DM/PhV,0,Phacovirus DM/PhV,,,,
1448,Phacovirus GT/PhV,0,Phacovirus GT/PhV,,,,
1449,Phacovirus NG/PhV,0,Phacovirus NG/PhV,,,,
1450,Phacovirus TR/PhV,0,Phacovirus TR/PhV,,,,
1451,Phacovirus VG/PhV,0,Phacovirus VG/PhV,,,,
1452,Phacovirus sp.,0,Phacovirus sp.,,,,
1453,Phapecoctavirus TSP7,GCF_018642085.1,Phapecoctavirus TSP7,GCF_018642085.1,150892.0,39.0,280.0
1454,Phasianid herpesvirus 1,0,Phasianid herpesvirus 1,,,,
1455,Phasianus chaphamaparvovirus,,Phasianus chaphamaparvovirus,,,,
1456,Pheasant-associated gyrovirus,,Pheasant-associated gyrovirus,GCA_031310715.1,2353.0,51.5,
1457,Phlebovirus arumowotense,0,Phlebovirus arumowotense,,,,
1458,Phlebovirus toscanaense,0,Phlebovirus toscanaense,,,,
1459,Phoenicopterid herpesvirus 1,0,Phoenicopterid herpesvirus 1,,,,
1460,Phoenicopteridae CRESS-DNA-virus sp.,,Phoenicopteridae CRESS-DNA-virus sp.,,,,
1461,Phoenicopteridae parvo-like hybrid virus,,Phoenicopteridae parvo-like hybrid virus,,,,
1462,Phoenicopteridae parvoviridae sp.,,Phoenicopteridae parvoviridae sp.,,,,
1463,Phoenicopterus roseus CRESS-DNA-virus sp.,,Phoenicopterus roseus CRESS-DNA-virus sp.,,,,
1464,Phoenicopterus roseus parvo-like hybrid virus,,Phoenicopterus roseus parvo-like hybrid virus,,,,
1465,Phoenicurus auroreus CRESS-DNA-virus sp.,,Phoenicurus auroreus CRESS-DNA-virus sp.,,,,
1466,Phoenicurus auroreus parvoviridae sp.,,Phoenicurus auroreus parvoviridae sp.,,,,
1467,Phylloscopus fuscatus CRESS-DNA-virus sp.,,Phylloscopus fuscatus CRESS-DNA-virus sp.,,,,
1468,Phylloscopus fuscatus Ichthamaparvovirus,,Phylloscopus fuscatus Ichthamaparvovirus,,,,
1469,Phylloscopus fuscatus parvoviridae sp.,,Phylloscopus fuscatus parvoviridae sp.,,,,
1470,Phylloscopus inornatus parvoviridae sp.,,Phylloscopus inornatus parvoviridae sp.,,,,
1471,Phylloscopus parvoviridae sp.,,Phylloscopus parvoviridae sp.,,,,
1472,Phylloscopus proregulus Brevihamaparvovirus,,Phylloscopus proregulus Brevihamaparvovirus,,,,
1473,Phylloscopus proregulus Ichthamaparvovirus,,Phylloscopus proregulus Ichthamaparvovirus,,,,
1474,Phylloscopus proregulus parvoviridae sp.,,Phylloscopus proregulus parvoviridae sp.,,,,
1475,Phylloscopus schwarzi parvoviridae sp.,,Phylloscopus schwarzi parvoviridae sp.,,,,
1476,Phylloscopus tenellipes CRESS-DNA-virus sp.,,Phylloscopus tenellipes CRESS-DNA-virus sp.,,,,
1477,Picobirnaviridae sp. gcode 3,,Picobirnaviridae sp. gcode 3,,,,
1478,Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,0,Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,,,,
1479,Picobirnavirus HK-2014,0,Picobirnavirus HK-2014,,,,
1480,Picobirnavirus sp.,,Picobirnavirus sp.,GCF_004117395.1,4297.0,40.5,4.0
1481,Picobirnavirus turkey/USA-1507/2010,0,Picobirnavirus turkey/USA-1507/2010,,,,
1482,Picobirnavirus turkey/USA-1512/2010,0,Picobirnavirus turkey/USA-1512/2010,,,,
1483,Picornavirales sp.,,Picornavirales sp.,GCF_013086155.1,8422.0,45.5,1.0
1484,Picornaviridae sp.,GCF_003389975.1,Picornaviridae sp.,GCF_003389975.1,7443.0,42.0,1.0
1485,Picornavirus chicken/CHK1/USA/2010,0,Picornavirus chicken/CHK1/USA/2010,,,,
1486,Picornavirus chicken/CHK148/USA/2010,0,Picornavirus chicken/CHK148/USA/2010,,,,
1487,Picornavirus chicken/CHK165/USA/2010,0,Picornavirus chicken/CHK165/USA/2010,,,,
1488,Picornavirus chicken/CHK168/USA/2010,0,Picornavirus chicken/CHK168/USA/2010,,,,
1489,Picornavirus chicken/CHK175/USA/2010,0,Picornavirus chicken/CHK175/USA/2010,,,,
1490,Picornavirus turkey/TRK22/USA/2010,0,Picornavirus turkey/TRK22/USA/2010,,,,
1491,Picornavirus turkey/TRK24/USA/2010,0,Picornavirus turkey/TRK24/USA/2010,,,,
1492,Picornavirus turkey/TRK90/USA/2010,0,Picornavirus turkey/TRK90/USA/2010,,,,
1493,Picornavirus turkey/TRK91/USA/2010,0,Picornavirus turkey/TRK91/USA/2010,,,,
1494,Pigeon adenovirus,,Pigeon adenovirus,,,,
1495,Pigeon adenovirus 2a,0,Pigeon adenovirus 2a,GCA_006436595.1,31314.0,49.0,
1496,Pigeon adenovirus 2b,0,Pigeon adenovirus 2b,,,,
1497,Pigeon adenovirus 3,0,Pigeon adenovirus 3,,,,
1498,Pigeon adenovirus 4,0,Pigeon adenovirus 4,,,,
1499,Pigeon adenovirus 5,0,Pigeon adenovirus 5,,,,
1500,Pigeon adenovirus FJ2017,0,Pigeon adenovirus FJ2017,,,,
1501,Pigeon astrovirus,,Pigeon astrovirus,,,,
1502,Pigeon aviadenovirus A,GCF_000921315.1,Pigeon aviadenovirus A,GCF_000921315.1,45480.0,64.0,37.0
1503,Pigeon aviadenovirus B,GCF_001831345.1,Pigeon aviadenovirus B,GCF_001831345.1,41981.0,48.5,35.0
1504,Pigeon coronavirus UAE-HKU29,0,Pigeon coronavirus UAE-HKU29,GCA_031171245.1,26155.0,39.5,10.0
1505,Pigeon gyrovirus,,Pigeon gyrovirus,GCA_031232875.1,2573.0,54.0,2.0
1506,Pigeon parvovirus A,GCF_018580195.1,Pigeon parvovirus A,GCF_018580195.1,5492.0,52.0,4.0
1507,Pigeon picornavirus A,0,Pigeon picornavirus A,,,,
1508,Pigeon picornavirus B,GCF_000892795.1,Pigeon picornavirus B,GCF_000892795.1,7801.0,46.0,1.0
1509,Pigeon-dominant Coronavirus,,Pigeon-dominant Coronavirus,,,,
1510,Pigeonpox virus,GCF_000922075.1,Pigeonpox virus,GCF_000922075.1,282356.0,29.5,271.0
1511,Pileated finch aveparvovirus,GCF_029884085.1,Pileated finch aveparvovirus,GCF_029884085.1,5368.0,44.0,3.0
1512,Pin virus,,Pin virus,,,,
1513,Pingu picornavirus,GCF_018583705.1,Pingu picornavirus,GCF_018583705.1,7601.0,49.0,1.0
1514,Pink-eared duck avastrovirus,0,Pink-eared duck avastrovirus,,,,
1515,Pink-eared duck calicivirus I,0,Pink-eared duck calicivirus I,,,,
1516,Pink-eared duck calicivirus II,0,Pink-eared duck calicivirus II,,,,
1517,Pink-eared duck megrivirus,0,Pink-eared duck megrivirus,,,,
1518,Pink-eared duck picobirnavirus,0,Pink-eared duck picobirnavirus,,,,
1519,Pink-eared duck picornavirus,0,Pink-eared duck picornavirus,,,,
1520,Plum headed parakeet adenovirus 1,0,Plum headed parakeet adenovirus 1,,,,
1521,Podargid alphaherpesvirus 1,0,Podargid alphaherpesvirus 1,,,,
1522,Poecivirus A,GCF_003085835.1,Poecivirus A,GCF_003085835.1,7653.0,43.5,1.0
1523,Poecivirus NOCR-674,0,Poecivirus NOCR-674,,,,
1524,Poecivirus NOCR-848,0,Poecivirus NOCR-848,,,,
1525,Poecivirus RBNH-12,0,Poecivirus RBNH-12,,,,
1526,Poecivirus RBNH-929,0,Poecivirus RBNH-929,,,,
1527,Poecivirus sp.,,Poecivirus sp.,,,,
1528,Poicephalus senegalus papillomavirus,,Poicephalus senegalus papillomavirus,,,,
1529,Polyomavirus erythrura5304,,Polyomavirus erythrura5304,,,,
1530,Polyomavirus erythrura5362,,Polyomavirus erythrura5362,,,,
1531,Polyomavirus odontophorus5057,,Polyomavirus odontophorus5057,,,,
1532,Polyomavirus phylloscopus4708,,Polyomavirus phylloscopus4708,,,,
1533,Polyomavirus phylloscopus4853,,Polyomavirus phylloscopus4853,,,,
1534,Polyomavirus prunella5215,,Polyomavirus prunella5215,,,,
1535,Polyomavirus pteridophora5384,,Polyomavirus pteridophora5384,,,,
1536,Polyomavirus saxicola5252a,,Polyomavirus saxicola5252a,,,,
1537,Polyomavirus sericulus5319,,Polyomavirus sericulus5319,,,,
1538,Polyomavirus taeniopygia5555,,Polyomavirus taeniopygia5555,,,,
1539,Polyomavirus zonotrichia5422,,Polyomavirus zonotrichia5422,,,,
1540,Porcine epidemic diarrhea virus,,Porcine epidemic diarrhea virus,GCF_000848685.1,28033.0,42.0,6.0
1541,Porprismacovirus avias1,GCF_018587855.1,Porprismacovirus avias1,GCF_018587855.1,2546.0,48.0,2.0
1542,Porprismacovirus chicas2,GCF_018589255.1,Porprismacovirus chicas2,GCF_018589255.1,2534.0,49.0,2.0
1543,Porprismacovirus chicas3,GCF_018589375.1,Porprismacovirus chicas3,GCF_018589375.1,2528.0,50.0,2.0
1544,Porprismacovirus chicas4,GCF_018589325.1,Porprismacovirus chicas4,GCF_018589325.1,2532.0,49.0,2.0
1545,Porprismacovirus chicas5,GCF_018589385.1,Porprismacovirus chicas5,GCF_018589385.1,2419.0,52.5,2.0
1546,Porprismacovirus chicas6,GCF_018589355.1,Porprismacovirus chicas6,GCF_018589355.1,2442.0,50.0,2.0
1547,Porprismacovirus chicas7,GCF_018589365.1,Porprismacovirus chicas7,GCF_018589365.1,2608.0,47.0,2.0
1548,Porprismacovirus turas1,GCF_000918075.1,Porprismacovirus turas1,GCF_000918075.1,2479.0,52.0,2.0
1549,Powell virus,0,Powell virus,,,,
1550,Protoparvovirus HK-2014,0,Protoparvovirus HK-2014,,,,
1551,Protoparvovirus Udayana_MDPVA,0,Protoparvovirus Udayana_MDPVA,,,,
1552,Protoparvovirus Udayana_MDPVB,0,Protoparvovirus Udayana_MDPVB,,,,
1553,Protoparvovirus sp.,,Protoparvovirus sp.,GCA_031166105.1,5046.0,47.0,
1554,Prunella montanella CRESS-DNA-virus sp.,,Prunella montanella CRESS-DNA-virus sp.,,,,
1555,Prunella montanella Genomoviridae sp.,,Prunella montanella Genomoviridae sp.,,,,
1556,Psittacid alphaherpesvirus 6,,Psittacid alphaherpesvirus 6,,,,
1557,Psittacid herpesvirus 3,0,Psittacid herpesvirus 3,,,,
1558,Psittacidae CRESS-DNA-virus sp.,,Psittacidae CRESS-DNA-virus sp.,,,,
1559,Psittacidae Chaphamaparvovirus,,Psittacidae Chaphamaparvovirus,,,,
1560,Psittacidae aveparvovirus,,Psittacidae aveparvovirus,,,,
1561,Psittacidae dependoparvovirus,,Psittacidae dependoparvovirus,,,,
