Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Mute swan feces associated chapparvovirus 5,Mute swan feces associated chapparvovirus 5,,,,,1,1,1,1
Mute swan feces associated chapparvovirus 6,Mute swan feces associated chapparvovirus 6,,,,,1,1,1,1
Mute swan feces associated circular virus 1,Mute swan feces associated circular virus 1,,,,,1,1,1,1
Mute swan feces associated circular virus 10,Mute swan feces associated circular virus 10,,,,,1,1,1,1
Mute swan feces associated circular virus 11,Mute swan feces associated circular virus 11,,,,,1,1,1,1
Mute swan feces associated circular virus 12,Mute swan feces associated circular virus 12,,,,,1,1,1,1
Mute swan feces associated circular virus 13,Mute swan feces associated circular virus 13,,,,,1,1,1,1
Mute swan feces associated circular virus 14,Mute swan feces associated circular virus 14,,,,,1,1,1,1
Mute swan feces associated circular virus 15,Mute swan feces associated circular virus 15,,,,,1,1,1,1
Mute swan feces associated circular virus 16,Mute swan feces associated circular virus 16,,,,,1,1,1,1
Mute swan feces associated circular virus 17,Mute swan feces associated circular virus 17,,,,,1,1,1,1
Mute swan feces associated circular virus 2,Mute swan feces associated circular virus 2,,,,,1,1,1,1
Mute swan feces associated circular virus 3,Mute swan feces associated circular virus 3,,,,,1,1,1,1
Mute swan feces associated circular virus 4,Mute swan feces associated circular virus 4,,,,,1,1,1,1
Mute swan feces associated circular virus 5,Mute swan feces associated circular virus 5,,,,,1,1,1,1
Mute swan feces associated circular virus 6,Mute swan feces associated circular virus 6,,,,,1,1,1,1
Mute swan feces associated circular virus 7,Mute swan feces associated circular virus 7,,,,,1,1,1,1
Mute swan feces associated circular virus 8,Mute swan feces associated circular virus 8,,,,,1,1,1,1
Mute swan feces associated circular virus 9,Mute swan feces associated circular virus 9,,,,,1,1,1,1
Mute swan feces associated gammacoronavirus,Mute swan feces associated gammacoronavirus,,,,,1,1,1,1
Mute swan feces associated gemycircularvirus 1,Mute swan feces associated gemycircularvirus 1,,,,,1,1,1,1
Mute swan feces associated hepatovirus 1,Mute swan feces associated hepatovirus 1,,,,,1,1,1,1
Mute swan feces associated hepatovirus 2,Mute swan feces associated hepatovirus 2,,,,,1,1,1,1
Mute swan feces associated hepatovirus 3,Mute swan feces associated hepatovirus 3,,,,,1,1,1,1
Mute swan feces associated hepatovirus 4,Mute swan feces associated hepatovirus 4,,,,,1,1,1,1
Mute swan feces associated noda-like virus 1,Mute swan feces associated noda-like virus 1,,,,,1,1,1,1
Mute swan feces associated noda-like virus 2,Mute swan feces associated noda-like virus 2,,,,,1,1,1,1
Mute swan feces associated noda-like virus 3,Mute swan feces associated noda-like virus 3,,,,,1,1,1,1
Mute swan feces associated noda-like virus 4,Mute swan feces associated noda-like virus 4,,,,,1,1,1,1
Mute swan feces associated noda-like virus 5,Mute swan feces associated noda-like virus 5,,,,,1,1,1,1
Mute swan feces associated noda-like virus 6,Mute swan feces associated noda-like virus 6,,,,,1,1,1,1
Mute swan feces associated noda-like virus 7,Mute swan feces associated noda-like virus 7,,,,,1,1,1,1
Mute swan feces associated noda-like virus 8,Mute swan feces associated noda-like virus 8,,,,,1,1,1,1
Mute swan feces associated noda-like virus 9,Mute swan feces associated noda-like virus 9,,,,,1,1,1,1
Mute swan feces associated partitiviridae 1,Mute swan feces associated partitiviridae 1,,,,,1,1,1,1
Mute swan feces associated partitiviridae A,Mute swan feces associated partitiviridae A,,,,,1,1,1,1
Mute swan feces associated partitiviridae B,Mute swan feces associated partitiviridae B,,,,,1,1,1,1
Mute swan feces associated partitiviridae C,Mute swan feces associated partitiviridae C,,,,,1,1,1,1
Mute swan feces associated partitiviridae D,Mute swan feces associated partitiviridae D,,,,,1,1,1,1
Mute swan feces associated partitiviridae E,Mute swan feces associated partitiviridae E,,,,,1,1,1,1
Mute swan feces associated partitiviridae F,Mute swan feces associated partitiviridae F,,,,,1,1,1,1
Mute swan feces associated partitiviridae G,Mute swan feces associated partitiviridae G,,,,,1,1,1,1
Mute swan feces associated partitiviridae H,Mute swan feces associated partitiviridae H,,,,,1,1,1,1
Mute swan feces associated partitiviridae I,Mute swan feces associated partitiviridae I,,,,,1,1,1,1
Mute swan feces associated partitiviridae J,Mute swan feces associated partitiviridae J,,,,,1,1,1,1
Mute swan feces associated partitiviridae K,Mute swan feces associated partitiviridae K,,,,,1,1,1,1
Mute swan feces associated partitiviridae L,Mute swan feces associated partitiviridae L,,,,,1,1,1,1
Mute swan feces associated partitiviridae M,Mute swan feces associated partitiviridae M,,,,,1,1,1,1
Mute swan feces associated partitiviridae N,Mute swan feces associated partitiviridae N,,,,,1,1,1,1
Mute swan feces associated partitiviridae O,Mute swan feces associated partitiviridae O,,,,,1,1,1,1
Mute swan feces associated picobirnavirus 1,Mute swan feces associated picobirnavirus 1,,,,,1,1,1,1
Mute swan feces associated picobirnavirus 2,Mute swan feces associated picobirnavirus 2,,,,,1,1,1,1
Mute swan feces associated picobirnavirus 3,Mute swan feces associated picobirnavirus 3,,,,,1,1,1,1
Mute swan feces associated picobirnavirus A,Mute swan feces associated picobirnavirus A,,,,,1,1,1,1
Mute swan feces associated picobirnavirus B,Mute swan feces associated picobirnavirus B,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 1,Mute swan feces associated picorna-like virus 1,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 10,Mute swan feces associated picorna-like virus 10,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 11,Mute swan feces associated picorna-like virus 11,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 12,Mute swan feces associated picorna-like virus 12,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 13,Mute swan feces associated picorna-like virus 13,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 14,Mute swan feces associated picorna-like virus 14,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 15,Mute swan feces associated picorna-like virus 15,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 16,Mute swan feces associated picorna-like virus 16,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 17,Mute swan feces associated picorna-like virus 17,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 18,Mute swan feces associated picorna-like virus 18,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 19,Mute swan feces associated picorna-like virus 19,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 2,Mute swan feces associated picorna-like virus 2,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 20,Mute swan feces associated picorna-like virus 20,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 21,Mute swan feces associated picorna-like virus 21,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 22,Mute swan feces associated picorna-like virus 22,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 23,Mute swan feces associated picorna-like virus 23,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 24,Mute swan feces associated picorna-like virus 24,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 25,Mute swan feces associated picorna-like virus 25,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 26,Mute swan feces associated picorna-like virus 26,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 27,Mute swan feces associated picorna-like virus 27,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 28,Mute swan feces associated picorna-like virus 28,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 29,Mute swan feces associated picorna-like virus 29,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 3,Mute swan feces associated picorna-like virus 3,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 4,Mute swan feces associated picorna-like virus 4,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 5,Mute swan feces associated picorna-like virus 5,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 6,Mute swan feces associated picorna-like virus 6,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 7,Mute swan feces associated picorna-like virus 7,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 8,Mute swan feces associated picorna-like virus 8,,,,,1,1,1,1
Mute swan feces associated picorna-like virus 9,Mute swan feces associated picorna-like virus 9,,,,,1,1,1,1
Mute swan feces associated sapelovirus 1,Mute swan feces associated sapelovirus 1,,,,,1,1,1,1
Mute swan feces associated sapelovirus 2,Mute swan feces associated sapelovirus 2,,,,,1,1,1,1
Mute swan feces associated sapelovirus 3,Mute swan feces associated sapelovirus 3,,,,,1,1,1,1
Mute swan feces associated toti-like virus 1,Mute swan feces associated toti-like virus 1,,,,,1,1,1,1
Mute swan feces associated toti-like virus 2,Mute swan feces associated toti-like virus 2,,,,,1,1,1,1
Mute swan feces associated toti-like virus 3,Mute swan feces associated toti-like virus 3,,,,,1,1,1,1
Myna aviadenovirus,Myna aviadenovirus,,,,,1,1,1,1
Myna calicivirus,Myna calicivirus,,,,,1,1,1,1
Myna chaphamaparvovirus,Myna chaphamaparvovirus,,,,,1,1,1,1
Myna hepatovirus,Myna hepatovirus,,,,,1,1,1,1
Myna siadenovirus,Myna siadenovirus,,,,,1,1,1,1
Mynah circovirus,Mynah circovirus,,,,,1,1,1,1
Nacovirus A,Nacovirus A,GCF_004786995.1,7656.0,50.0,2.0,0,0,0,0
Nandayus nenday CRESS-DNA-virus sp.,Nandayus nenday CRESS-DNA-virus sp.,,,,,1,1,1,1
Nandayus nenday Chaphamaparvovirus,Nandayus nenday Chaphamaparvovirus,,,,,1,1,1,1
Nandayus nenday parvoviridae sp.,Nandayus nenday parvoviridae sp.,,,,,1,1,1,1
Nauglamirvirus anduin,Nauglamirvirus anduin,GCF_023131745.1,1970.0,34.0,2.0,0,0,0,0
Navarro virus,Navarro virus,,,,,1,1,1,1
Neoavian orthoreovirus,Neoavian orthoreovirus,,,,,1,1,1,1
Neotropic cormorant aviadenovirus,Neotropic cormorant aviadenovirus,,,,,1,1,1,1
Neotropic cormorant herpesvirus,Neotropic cormorant herpesvirus,,,,,1,1,1,1
Netherby virus,Netherby virus,,,,,1,1,1,1
Neva virus,Neva virus,,,,,1,1,1,1
Night heron coronavirus HKU19,Night heron coronavirus HKU19,GCF_000896035.1,26077.0,38.0,8.0,0,0,0,0
Nodaviridae sp.,Nodaviridae sp.,GCA_030027915.1,3205.0,51.5,,0,0,0,1
Nordenskjold virus,Nordenskjold virus,,,,,1,1,1,1
Norwalk virus,Norwalk virus,,,,,1,1,1,1
Nyavirus nyamaniniense,Nyavirus nyamaniniense,GCF_000882955.1,11631.0,52.5,6.0,0,0,0,0
Nyavirus sanjacintoense,Nyavirus sanjacintoense,GCF_018587265.1,13295.0,51.5,7.0,0,0,0,0
Nyavirus somateriae,Nyavirus somateriae,GCF_023131265.1,12659.0,48.0,8.0,0,0,0,0
O'Leary virus,O'Leary virus,,,,,1,1,1,1
Oates virus,Oates virus,,,,,1,1,1,1
Onychoprion fuscatus alphaherpesvirus 1,Onychoprion fuscatus alphaherpesvirus 1,,,,,1,1,1,1
Oriental turtle dovepox virus,Oriental turtle dovepox virus,,,,,1,1,1,1
Oriolus adenovirus,Oriolus adenovirus,,,,,1,1,1,1
Orivirus A,Orivirus A,GCF_000926835.1,7037.0,50.0,1.0,0,0,0,0
Orthoavulavirus borisense,Orthoavulavirus borisense,GCF_003032685.1,14926.0,46.0,6.0,0,0,0,0
Orthoavulavirus italiense,Orthoavulavirus italiense,GCF_000927075.1,15312.0,45.0,6.0,0,0,0,0
Orthoavulavirus japanense,Orthoavulavirus japanense,GCF_001654405.1,16146.0,42.5,6.0,0,0,0,0
Orthoavulavirus javaense,Orthoavulavirus javaense,GCF_002834085.1,15192.0,47.0,6.0,0,0,0,0
Orthoavulavirus kopaiticense,Orthoavulavirus kopaiticense,GCF_003032695.1,14931.0,50.0,6.0,0,0,0,0
Orthoavulavirus koreaense,Orthoavulavirus koreaense,,,,,1,1,1,1
Orthoavulavirus newyorkense,Orthoavulavirus newyorkense,GCF_000926655.1,15438.0,44.5,6.0,0,0,0,0
Orthoavulavirus oneillense,Orthoavulavirus oneillense,GCF_003032705.1,15017.0,50.0,6.0,0,0,0,0
Orthoavulavirus sp.,Orthoavulavirus sp.,,,,,1,1,1,1
Orthoavulavirus upoense,Orthoavulavirus upoense,GCF_003032675.1,15180.0,44.5,6.0,0,0,0,0
Orthobornavirus alphapsittaciforme,Orthobornavirus alphapsittaciforme,GCF_002815075.1,8902.0,42.5,6.0,0,0,0,0
Orthobornavirus avisaquaticae,Orthobornavirus avisaquaticae,GCF_001589995.2,8904.0,41.0,6.0,0,0,0,0
Orthobornavirus betapsittaciforme,Orthobornavirus betapsittaciforme,GCF_002815095.1,8973.0,43.0,6.0,0,0,0,0
Orthobornavirus bornaense,Orthobornavirus bornaense,,,,,1,1,1,1
Orthobornavirus estrildidae,Orthobornavirus estrildidae,GCF_002815055.1,5572.0,43.0,6.0,0,0,0,0
Orthobornavirus serini,Orthobornavirus serini,GCF_001305565.3,8930.0,41.0,6.0,0,0,0,0
Orthobunyavirus balagoduense,Orthobunyavirus balagoduense,GCF_029887365.1,12557.0,36.5,3.0,0,0,0,0
Orthobunyavirus bataiense,Orthobunyavirus bataiense,,,,,1,1,1,1
Orthobunyavirus batamaense,Orthobunyavirus batamaense,GCF_029887665.1,12447.0,36.5,3.0,0,0,0,0
Orthobunyavirus bobayaense,Orthobunyavirus bobayaense,GCF_029888205.1,12536.0,36.0,3.0,0,0,0,0
Orthobunyavirus bunyamweraense,Orthobunyavirus bunyamweraense,,,,,1,1,1,1
Orthobunyavirus gamboaense,Orthobunyavirus gamboaense,,,,,1,1,1,1
Orthobunyavirus ingwavumaense,Orthobunyavirus ingwavumaense,GCF_004789635.1,12388.0,36.5,3.0,0,0,0,0
Orthobunyavirus manzanillaense,Orthobunyavirus manzanillaense,,,,,1,1,1,1
Orthobunyavirus matruhense,Orthobunyavirus matruhense,GCF_009731935.1,12220.0,36.5,3.0,0,0,0,0
Orthobunyavirus mermetense,Orthobunyavirus mermetense,GCF_004789655.1,12332.0,36.0,3.0,0,0,0,0
Orthobunyavirus sedlecense,Orthobunyavirus sedlecense,GCF_018594955.1,12532.0,36.0,4.0,0,0,0,0
Orthobunyavirus teteense,Orthobunyavirus teteense,GCF_002814395.1,12187.0,37.0,3.0,0,0,0,0
Orthobunyavirus thimiriense,Orthobunyavirus thimiriense,GCF_006297945.1,12418.0,36.5,4.0,0,0,0,0
Orthoflavivirus bagazaense,Orthoflavivirus bagazaense,,,,,1,1,1,1
Orthoflavivirus cacipacoreense,Orthoflavivirus cacipacoreense,GCF_000954535.1,10284.0,49.5,1.0,0,0,0,0
Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,,,,,1,1,1,1
Orthoflavivirus israelense,Orthoflavivirus israelense,,,,,1,1,1,1
Orthoflavivirus japonicum,Orthoflavivirus japonicum,,,,,1,1,1,1
Orthoflavivirus louisense,Orthoflavivirus louisense,,,,,1,1,1,1
Orthoflavivirus loupingi,Orthoflavivirus loupingi,,,,,1,1,1,1
Orthoflavivirus nilense,Orthoflavivirus nilense,,,,,1,1,1,1
Orthoflavivirus powassanense,Orthoflavivirus powassanense,,,,,1,1,1,1
Orthoflavivirus saumarezense,Orthoflavivirus saumarezense,,,,,1,1,1,1
Orthoflavivirus tembusu,Orthoflavivirus tembusu,GCF_000894755.1,10990.0,49.0,1.0,0,0,0,0
Orthoflavivirus usutuense,Orthoflavivirus usutuense,,,,,1,1,1,1
Orthoflavivirus wesselsbronense,Orthoflavivirus wesselsbronense,,,,,1,1,1,1
Orthonairovirus abuhammadense,Orthonairovirus abuhammadense,GCF_014883235.1,18596.0,42.5,3.0,0,0,0,0
Orthonairovirus abuminaense,Orthonairovirus abuminaense,GCF_014883245.1,18416.0,41.5,3.0,0,0,0,0
Orthonairovirus bushkeyense,Orthonairovirus bushkeyense,,,,,1,1,1,1
Orthonairovirus tunisense,Orthonairovirus tunisense,GCF_004128175.1,18977.0,41.5,3.0,0,0,0,0
Orthoreovirus sp.,Orthoreovirus sp.,,,,,1,1,1,1
Oscivirus A,Oscivirus A,GCF_000887535.1,7641.0,47.0,1.0,0,0,0,0
Ostrekin virus,Ostrekin virus,,,,,1,1,1,1
Ostrich orthoreovirus Ost1,Ostrich orthoreovirus Ost1,,,,,1,1,1,1
Ostrich parvovirus,Ostrich parvovirus,,,,,1,1,1,1
Otus scops CRESS-DNA-virus sp.,Otus scops CRESS-DNA-virus sp.,,,,,1,1,1,1
Otus scops parvoviridae sp.,Otus scops parvoviridae sp.,,,,,1,1,1,1
Ousland virus,Ousland virus,,,,,1,1,1,1
Owl adenovirus,Owl adenovirus,GCA_031258635.1,40551.0,49.0,28.0,0,0,0,0
Owl adenovirus Aichi10341,Owl adenovirus Aichi10341,,,,,1,1,1,1
Pacific black duck aalivirus,Pacific black duck aalivirus,,,,,1,1,1,1
Pacific black duck adeno-associated virus,Pacific black duck adeno-associated virus,,,,,1,1,1,1
Pacific black duck anativirus-like virus,Pacific black duck anativirus-like virus,,,,,1,1,1,1
Pacific black duck astrovirus,Pacific black duck astrovirus,,,,,1,1,1,1
Pacific black duck aveparvovirus,Pacific black duck aveparvovirus,,,,,1,1,1,1
Pacific black duck aviadenovirus,Pacific black duck aviadenovirus,,,,,1,1,1,1
Pacific black duck calicivirus,Pacific black duck calicivirus,,,,,1,1,1,1
Pacific black duck chaphamaparvovirus,Pacific black duck chaphamaparvovirus,,,,,1,1,1,1
Pacific black duck chaphamaparvovirus 1,Pacific black duck chaphamaparvovirus 1,GCF_029885275.1,4323.0,39.0,4.0,0,0,0,0
Pacific black duck megrivirus,Pacific black duck megrivirus,,,,,1,1,1,1
Pacific black duck orthoreovirus,Pacific black duck orthoreovirus,,,,,1,1,1,1
Pacific black duck sicinivirus-like virus,Pacific black duck sicinivirus-like virus,,,,,1,1,1,1
Palmer virus,Palmer virus,,,,,1,1,1,1
Papillomavirus luscinia7441,Papillomavirus luscinia7441,,,,,1,1,1,1
Papillomavirus numida8051,Papillomavirus numida8051,,,,,1,1,1,1
Paraavulavirus hongkongense,Paraavulavirus hongkongense,GCF_002815175.1,15054.0,47.0,6.0,0,0,0,0
Paraavulavirus wisconsinense,Paraavulavirus wisconsinense,GCF_000927055.1,16182.0,42.0,6.0,0,0,0,0
Paramecium bursaria Chlorella virus,Paramecium bursaria Chlorella virus,,,,,1,1,1,1
Parechovirus B,Parechovirus B,,,,,1,1,1,1
Parechovirus E,Parechovirus E,,,,,1,1,1,1
Parrot coronavirus AV71/99,Parrot coronavirus AV71/99,,,,,1,1,1,1
Parrot hepatitis B virus,Parrot hepatitis B virus,GCF_000895735.1,3048.0,41.5,5.0,0,0,0,0
Partitiviridae sp.,Partitiviridae sp.,GCA_031323215.1,3505.0,48.5,,0,0,0,1
Parus major parvoviridae sp.,Parus major parvoviridae sp.,,,,,1,1,1,1
Parvoviridae sp.,Parvoviridae sp.,GCF_003389895.1,4305.0,38.0,2.0,0,0,0,0
Parvovirus AC-2012,Parvovirus AC-2012,,,,,1,1,1,1
Parvovirus AH0225,Parvovirus AH0225,,,,,1,1,1,1
Parvovirus NIH-CQV,Parvovirus NIH-CQV,GCF_000910875.1,3780.0,46.0,3.0,0,0,0,0
Parvovirus USP336-5/Brazil/2009,Parvovirus USP336-5/Brazil/2009,,,,,1,1,1,1
Parvovirus USP336-7/Brazil/2009,Parvovirus USP336-7/Brazil/2009,,,,,1,1,1,1
Parvovirus USP369-D/Brazil/2009,Parvovirus USP369-D/Brazil/2009,,,,,1,1,1,1
Parvovirus USP369-E/Brazil/2009,Parvovirus USP369-E/Brazil/2009,,,,,1,1,1,1
Parvovirus USP371-1/Brazil/2009,Parvovirus USP371-1/Brazil/2009,,,,,1,1,1,1
Parvovirus USP371-4/Brazil/2009,Parvovirus USP371-4/Brazil/2009,,,,,1,1,1,1
Parvovirus USP391-2/Brazil/2009,Parvovirus USP391-2/Brazil/2009,,,,,1,1,1,1
Parvovirus USP400-2B/Brazil/2010,Parvovirus USP400-2B/Brazil/2010,,,,,1,1,1,1
Parvovirus USP400-4B/Brazil/2010,Parvovirus USP400-4B/Brazil/2010,,,,,1,1,1,1
Parvovirus USP400-8A/Brazil/2010,Parvovirus USP400-8A/Brazil/2010,,,,,1,1,1,1
Parvovirus USP400-9A/Brazil/2010,Parvovirus USP400-9A/Brazil/2010,,,,,1,1,1,1
Parvovirus anas3568,Parvovirus anas3568,,,,,1,1,1,1
Parvovirus anser6071,Parvovirus anser6071,,,,,1,1,1,1
Parvovirus anser6262,Parvovirus anser6262,,,,,1,1,1,1
Parvovirus anser7324,Parvovirus anser7324,,,,,1,1,1,1
Parvovirus anser7825,Parvovirus anser7825,,,,,1,1,1,1
Parvovirus chalcites3867,Parvovirus chalcites3867,,,,,1,1,1,1
Parvovirus chrysococcyx3867a,Parvovirus chrysococcyx3867a,,,,,1,1,1,1
Parvovirus emberiza5140,Parvovirus emberiza5140,,,,,1,1,1,1
Parvovirus emberiza5276,Parvovirus emberiza5276,,,,,1,1,1,1
Parvovirus emberiza6660,Parvovirus emberiza6660,,,,,1,1,1,1
Parvovirus emberiza7086,Parvovirus emberiza7086,,,,,1,1,1,1
Parvovirus grus5099,Parvovirus grus5099,,,,,1,1,1,1
Parvovirus grus5877,Parvovirus grus5877,,,,,1,1,1,1
Parvovirus grus5942,Parvovirus grus5942,,,,,1,1,1,1
Parvovirus laniidae3881,Parvovirus laniidae3881,,,,,1,1,1,1
Parvovirus lanius6615,Parvovirus lanius6615,,,,,1,1,1,1
Parvovirus larvivora5808,Parvovirus larvivora5808,,,,,1,1,1,1
Parvovirus leiothrix3317,Parvovirus leiothrix3317,,,,,1,1,1,1
Parvovirus leiothrix4587,Parvovirus leiothrix4587,,,,,1,1,1,1
Parvovirus luscinia5410,Parvovirus luscinia5410,,,,,1,1,1,1
Parvovirus luscinia6815,Parvovirus luscinia6815,,,,,1,1,1,1
Parvovirus numida6704,Parvovirus numida6704,,,,,1,1,1,1
Parvovirus partridge/PA147/ITA/2008,Parvovirus partridge/PA147/ITA/2008,,,,,1,1,1,1
Parvovirus phasianus6595,Parvovirus phasianus6595,,,,,1,1,1,1
Parvovirus phoenicopterus3947,Parvovirus phoenicopterus3947,,,,,1,1,1,1
Parvovirus phoenicurus12233s1,Parvovirus phoenicurus12233s1,,,,,1,1,1,1
Parvovirus phoenicurus12233s2,Parvovirus phoenicurus12233s2,,,,,1,1,1,1
Parvovirus phoenicurus4436,Parvovirus phoenicurus4436,,,,,1,1,1,1
Parvovirus phylloscopus4927,Parvovirus phylloscopus4927,,,,,1,1,1,1
Parvovirus phylloscopus5247,Parvovirus phylloscopus5247,,,,,1,1,1,1
Parvovirus phylloscopus5401s1,Parvovirus phylloscopus5401s1,,,,,1,1,1,1
Parvovirus phylloscopus5401s2,Parvovirus phylloscopus5401s2,,,,,1,1,1,1
Parvovirus steptopelia4906,Parvovirus steptopelia4906,,,,,1,1,1,1
Parvovirus steptopelia5095,Parvovirus steptopelia5095,,,,,1,1,1,1
Parvovirus streptopelia4404,Parvovirus streptopelia4404,,,,,1,1,1,1
Parvovirus sylvia4828,Parvovirus sylvia4828,,,,,1,1,1,1
Parvovirus turdus4154,Parvovirus turdus4154,,,,,1,1,1,1
Parvovirus turdus6774,Parvovirus turdus6774,,,,,1,1,1,1
Parvovirus zapornia4554,Parvovirus zapornia4554,,,,,1,1,1,1
Parvovirus zonotrichia4755,Parvovirus zonotrichia4755,,,,,1,1,1,1
Paslahepevirus balayani,Paslahepevirus balayani,GCF_023120345.1,6660.0,51.5,3.0,0,0,0,0
Passer domesticus herpesvirus,Passer domesticus herpesvirus,,,,,1,1,1,1
Passer montanus parvoviridae sp.,Passer montanus parvoviridae sp.,,,,,1,1,1,1
Passer montanus pegivirus,Passer montanus pegivirus,GCA_031246775.1,10916.0,57.5,,0,0,0,1
Passerid herpesvirus 1,Passerid herpesvirus 1,,,,,1,1,1,1
Passerine adenovirus 1,Passerine adenovirus 1,GCA_031236175.1,39644.0,53.5,,0,0,0,1
Passerine astrovirus 1,Passerine astrovirus 1,GCA_031190705.1,6745.0,47.5,3.0,0,0,0,0
Passerine astrovirus 2,Passerine astrovirus 2,GCA_031190715.1,6864.0,43.5,3.0,0,0,0,0
Passerine astrovirus 3,Passerine astrovirus 3,GCA_031190725.1,6628.0,42.0,3.0,0,0,0,0
Passerine astrovirus 4,Passerine astrovirus 4,GCA_031190735.1,6870.0,42.0,3.0,0,0,0,0
Passerivirus A,Passerivirus A,GCF_000890055.1,8035.0,58.0,1.0,0,0,0,0
Pavo cristatus CRESS-DNA-virus sp.,Pavo cristatus CRESS-DNA-virus sp.,,,,,1,1,1,1
Pavo cristatus parvo-like hybrid virus,Pavo cristatus parvo-like hybrid virus,,,,,1,1,1,1
Pavo cristatus parvoviridae sp.,Pavo cristatus parvoviridae sp.,,,,,1,1,1,1
Pelican hepacivirus,Pelican hepacivirus,,,,,1,1,1,1
Penguin herpesvirus 1,Penguin herpesvirus 1,,,,,1,1,1,1
Penguin herpesvirus 2,Penguin herpesvirus 2,,,,,1,1,1,1
Penguin siadenovirus A,Penguin siadenovirus A,GCF_001646375.1,24662.0,35.5,22.0,0,0,0,0
Penguinpox virus,Penguinpox virus,GCF_000923135.1,306862.0,29.5,284.0,0,0,0,0
Penguinpox virus 2,Penguinpox virus 2,GCA_031242905.1,349821.0,30.0,,0,0,0,1
Periparus ater CRESS-DNA-virus sp.,Periparus ater CRESS-DNA-virus sp.,,,,,1,1,1,1
Periparus ater Circoviridae sp.,Periparus ater Circoviridae sp.,,,,,1,1,1,1
Periparus ater Ichthamaparvovirus,Periparus ater Ichthamaparvovirus,,,,,1,1,1,1
Periparus ater parvoviridae sp.,Periparus ater parvoviridae sp.,,,,,1,1,1,1
Pernambuco mycovirus 1,Pernambuco mycovirus 1,,,,,1,1,1,1
Pernambuco nodavirus,Pernambuco nodavirus,,,,,1,1,1,1
Pernambuco virus,Pernambuco virus,,,,,1,1,1,1
Petrov virus,Petrov virus,,,,,1,1,1,1
Phacovirus BY/PhV,Phacovirus BY/PhV,,,,,1,1,1,1
Phacovirus CAB/PhV,Phacovirus CAB/PhV,,,,,1,1,1,1
Phacovirus DM/PhV,Phacovirus DM/PhV,,,,,1,1,1,1
Phacovirus GT/PhV,Phacovirus GT/PhV,,,,,1,1,1,1
Phacovirus NG/PhV,Phacovirus NG/PhV,,,,,1,1,1,1
Phacovirus TR/PhV,Phacovirus TR/PhV,,,,,1,1,1,1
Phacovirus VG/PhV,Phacovirus VG/PhV,,,,,1,1,1,1
Phacovirus sp.,Phacovirus sp.,,,,,1,1,1,1
Phapecoctavirus TSP7,Phapecoctavirus TSP7,GCF_018642085.1,150892.0,39.0,280.0,0,0,0,0
Phasianid herpesvirus 1,Phasianid herpesvirus 1,,,,,1,1,1,1
Phasianus chaphamaparvovirus,Phasianus chaphamaparvovirus,,,,,1,1,1,1
Pheasant-associated gyrovirus,Pheasant-associated gyrovirus,GCA_031310715.1,2353.0,51.5,,0,0,0,1
Phlebovirus arumowotense,Phlebovirus arumowotense,,,,,1,1,1,1
Phlebovirus toscanaense,Phlebovirus toscanaense,,,,,1,1,1,1
Phoenicopterid herpesvirus 1,Phoenicopterid herpesvirus 1,,,,,1,1,1,1
Phoenicopteridae CRESS-DNA-virus sp.,Phoenicopteridae CRESS-DNA-virus sp.,,,,,1,1,1,1
Phoenicopteridae parvo-like hybrid virus,Phoenicopteridae parvo-like hybrid virus,,,,,1,1,1,1
Phoenicopteridae parvoviridae sp.,Phoenicopteridae parvoviridae sp.,,,,,1,1,1,1
Phoenicopterus roseus CRESS-DNA-virus sp.,Phoenicopterus roseus CRESS-DNA-virus sp.,,,,,1,1,1,1
Phoenicopterus roseus parvo-like hybrid virus,Phoenicopterus roseus parvo-like hybrid virus,,,,,1,1,1,1
