,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
141,Avian rotavirus turkey/Minnesota/B5009/2008,639273,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
142,Avian rotavirus turkey/Minnesota/B5015/2008,639274,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
143,Avian rotavirus turkey/Minnesota/B5018/2008,639275,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
144,Avian rotavirus turkey/Minnesota/B5019/2008,639276,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
145,Avian rotavirus turkey/Minnesota/B5020/2008,639277,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
146,Avian rotavirus turkey/Minnesota/B5022/2008,639278,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
147,Avian rotavirus turkey/Minnesota/B5023/2008,639279,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
148,Avian rotavirus turkey/Minnesota/B5024/2008,639280,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
149,Avian rotavirus turkey/Minnesota/B5035/2008,639281,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
150,Avian nephritis virus 3,640327,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
151,Quang Binh virus,643132,0.0,13.0,80.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10891.0,52.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
152,Coronavirus Anas/p71/2005/GBR,643397,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
153,Coronavirus red knot/p60/2006/GBR,643398,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
154,Coronavirus oystercatcher/p17/2006/GBR,643399,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
155,Coronavirus Anas/p42/2005/GBR,643400,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
156,Nyavirus nyamaniniense,644610,14.0,22.0,74.0,1.0,0.0,0.0,1.0,,0.0,1.0,11631.0,52.5,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,Penguinpox virus,648998,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,306862.0,29.5,284.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
158,Avipoxvirus isolate Pat/07,656810,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
159,Avipoxvirus isolate Cca/07,656811,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
160,Avipoxvirus isolate Sat/07,656812,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
161,Avipoxvirus isolate Cch/07,656813,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
162,Avipoxvirus isolate ID8964,656814,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
163,Avipoxvirus isolate ID8501092,656815,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
164,Rotavirus turkey/MN/D-000818/2008,661052,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
165,Rotavirus turkey/MN/D-004782/2008,661053,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
166,Rotavirus turkey/MN/D-005329/2008,661054,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
167,Rotavirus turkey/MN/D-005331/2008,661055,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
168,Rotavirus turkey/MN/D-007553/2007,661056,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
169,Rotavirus turkey/MN/D-007554/2007,661057,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
170,Rotavirus turkey/MN/D-007555/2007,661058,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
171,Rotavirus turkey/MN/D-007862/2007,661059,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
172,Rotavirus turkey/MN/D-007863/2007,661060,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
173,Rotavirus turkey/MN/D-016170/2008,661061,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
174,Rotavirus turkey/MN/D-016171/2008,661062,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
175,Rotavirus turkey/MN/D-022564/2008,661063,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
176,Rotavirus turkey/MN/D-022565/2008,661064,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
177,Rotavirus turkey/MN/D-035365/2007,661065,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
178,Rotavirus turkey/MN/D-046159/2007,661066,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
179,Rotavirus turkey/MN/D-047428/2008,661067,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
180,Rotavirus turkey/MN/D-048814/2008,661068,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
181,Rotavirus turkey/MN/D-049007/2007,661069,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
182,Rotavirus turkey/MN/D-052725/2007,661070,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
183,Rotavirus turkey/MN/D-053540/2007,661071,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
184,Rotavirus turkey/MN/D-053578/2007,661072,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
185,Rotavirus turkey/MN/D-053706/2007,661073,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
186,Rotavirus turkey/MN/D-053853/2007,661074,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
187,Rotavirus turkey/MN/D-054413/2007,661075,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
188,Rotavirus turkey/MN/D-055423/2007,661076,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
189,Rotavirus turkey/MN/D-055431/2008,661077,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
190,Rotavirus turkey/MN/D-055471/2008,661078,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
191,Rotavirus turkey/MN/D-056058/2007,661079,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
192,Rotavirus turkey/MN/D-056826/2007,661080,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
193,Rotavirus turkey/MN/D-058211/2007,661081,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
194,Rotavirus turkey/MN/D-058212/2007,661082,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
195,Rotavirus turkey/MN/D-058648/2007,661083,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
196,Rotavirus turkey/MN/D-059191/2007,661084,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
197,Rotavirus turkey/MN/D-22852/2007,661085,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
198,Rotavirus turkey/MN/D-049317/2007,664644,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
199,Rotavirus turkey/MN/D-059867/2008,664646,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
200,Rotavirus turkey/MN/D-007861/2007,664658,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
201,Avian bornavirus,675389,14.0,6.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202,Gaviid herpesvirus 1,690285,11.0,23.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203,Common buzzard alphaherpesvirus,690691,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
204,Avihepatovirus A,691956,20.0,32.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
205,Raptor siadenovirus A,691961,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26284.0,38.5,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
206,Falcon aviadenovirus A,692069,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39008.0,43.5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
207,Avipoxvirus MK1,692273,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
208,Avipoxvirus OL1,692274,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
209,Betacoronavirus 1,694003,15.0,11.0,20.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
210,Avian coronavirus,694014,15.0,11.0,37.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27464.0,38.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
211,Chicken parvovirus 5B8/2009,703584,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
212,Avipoxvirus flamingo/KD09/ZAF,704179,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
213,Cyclovirus NG_chicken11,742974,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
214,Cyclovirus NG_chicken12,742975,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
215,Cyclovirus NG_chicken13,742976,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
216,Cyclovirus NG_chicken14,742977,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
217,Cyclovirus NG_chicken15,742978,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
218,Cyclovirus NG_chicken16,742979,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
219,Circovirus NG_chicken17,742980,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
220,Cyclovirus NG_chicken18,742981,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
221,Cyclovirus NG_chicken19,742982,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
222,Cyclovirus NG_chicken2,742983,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
223,Circovirus NG_chicken20,742984,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
224,Circovirus NG_chicken21,742985,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
225,Cyclovirus NG_chicken22,742986,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
226,Cyclovirus NG_chicken23,742987,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
227,Cyclovirus NG_chicken24,742988,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
228,Circovirus NG_chicken25,742989,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
229,Cyclovirus NG_chicken26,742990,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
230,Cyclovirus NG_chicken3,742991,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
231,Cyclovirus NG_chicken31,742992,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
232,Cyclovirus NG_chicken32,742993,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
233,Circovirus NG_chicken33,742994,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
234,Cyclovirus NG_chicken36,742995,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
235,Cyclovirus NG_chicken37,742996,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
236,Circovirus NG_chicken38,742997,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
237,Circovirus NG_chicken39,742998,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
238,Circovirus NG_chicken5,742999,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
239,Cyclovirus NG_chicken6,743000,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
240,Cyclovirus NG_chicken7,743001,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
241,Cyclovirus NG_chicken8,743002,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
242,Cyclovirus NG_chicken9,743003,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
243,Parvovirus USP336-5/Brazil/2009,746112,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
244,Parvovirus USP336-7/Brazil/2009,746113,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
245,Chicken parvovirus 347/HUN/2008,762506,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
246,Chicken parvovirus 348/HUN/2008,762507,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
247,Chicken parvovirus 528/HUN/2009,762508,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
248,Chicken parvovirus A1/HUN/2009,762509,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
249,Chicken parvovirus ABU/HUN/2009,762510,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
250,Chicken parvovirus B1/HUN/2009,762511,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
251,Avipoxvirus Pox10291,795157,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
252,Avipoxvirus Pox10302,795158,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
253,Avipoxvirus Pox10588,795159,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
254,Avipoxvirus Pox10643,795160,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
255,Avipoxvirus Pox10716,795161,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
256,Avipoxvirus Pox11408,795162,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
257,Avipoxvirus Pox11458,795163,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
258,Avipoxvirus Pox12717,795164,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
259,Avipoxvirus Pox13916,795165,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
260,Avipoxvirus Pox7379,795166,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
261,Avipoxvirus PoxHAAM26,795167,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
262,Avipoxvirus PoxPV013.3,795168,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
263,Avipoxvirus pigeon/CAPM V-101/CZE/1965,856735,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
264,Turkey aviadenovirus 2,878330,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
265,Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,880350,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
266,Chicken parvovirus Ch1514/2007/HUN,881301,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
267,Chicken parvovirus Ch1515/2007/HUN,881302,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
268,Chicken parvovirus Ch189/2009/HUN,881303,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
269,Chicken parvovirus Ch538/2009/HUN,881304,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
270,Chicken parvovirus Ch5596_10/2010/HUN,881305,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
271,Chicken parvovirus Ch5596_13/2010/HUN,881306,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
272,Chicken parvovirus Ch5596_18/2010/HUN,881307,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
273,Chicken parvovirus Ch5596_7/2010/HUN,881308,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
274,Chicken parvovirus Ch841_3/2009/HUN,881309,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
275,Chicken parvovirus Ch852/2009/HUN,881310,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
276,Turkey parvovirus Tu33/2010/HUN,881311,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
277,Turkey parvovirus Tu762/2009/HUN,881312,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
278,Skua siadenovirus A,886980,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26340.0,34.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
279,South polar skua adenovirus-2,886981,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
280,South polar skua adenovirus-3,886982,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
281,South polar skua adenovirus-4,886983,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
282,South polar skua adenovirus-5,886984,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
